UMAP1,UMAP2,label
7.8119674,-2.0495176,4
7.933343,-2.5282185,4
8.038195,-1.9008137,4
8.057085,-2.2108114,4
9.357967,-4.7611623,4
8.093559,-1.5579739,4
8.142544,-1.4213763,4
8.170817,-1.4108392,4
8.24103,-1.5763643,4
8.016637,-1.7952343,4
8.055564,-1.852104,4
9.132652,-4.6237006,4
8.200898,-1.6247581,4
7.9689217,-1.7064792,4
8.123495,-1.3380355,4
9.379555,-4.920565,4
8.185645,-1.2551072,4
